FmPrime,FoPrime,Fs,FvP/FmP,LEF,NPQt,Phi2,PhiNO,PhiNPQ,RFd,SPAD_420,SPAD_530,SPAD_605,SPAD_650,SPAD_730,SPAD_850,SPAD_880,absorbance_530,absorbance_605,absorbance_730,absorbance_850,absorbance_880,absorbance_940,ambient_humidity,column,cultivar,cultivar_id,date,leaf_angle_clamp_position,leaf_temperature,leaf_temperature_differential,leaf_thickness,light_intensity_PAR,pitch,proximal_air_temperature,qL,qP,range,relative_chlorophyll,roll,season
1243.98,1161.0,1180.8,0.067,36.613,67.185,0.051,0.013999999999999999,0.935,0.054000000000000006,127.47,56.92,71.98,33.09,-13.9,-3.14,2.68,1.063,1.213,0.354,0.462,0.52,0.493,20.544922,3,6000000964,6000000964,2017-08-28 13:48:00,17.96,323.63,2.340001,0.14,1601.0,16.95,48.139998999999996,0.748,0.7609999999999999,45,33.08986616,6.04,4
2261.833,1936.0,1944.6,0.14400000000000002,91.213,28.046,0.14,0.03,0.83,0.163,134.45,54.34,73.9,35.27,-14.71,-3.97,2.29,0.997,1.192,0.306,0.413,0.47600000000000003,0.45299999999999996,19.250977,2,6000000964,6000000964,2017-08-28 13:56:00,11.19,320.62,-0.669999,0.1,1445.0,-7.31,48.139998999999996,0.971,0.975,21,35.27342256,-8.5,4
3717.781,2097.0,2852.0,0.436,153.214,5.316,0.233,0.121,0.6459999999999999,0.304,183.49,77.69,100.3,48.46,-10.36,-2.64,2.0,1.29,1.516,0.409,0.48700000000000004,0.5329999999999999,0.513,15.443359,14,6000000208,6000000208,2017-08-28 14:19:00,5.11,310.56,-9.479999000000001,0.98,1462.0,3.24,46.889998999999996,0.39299999999999996,0.534,26,48.45506692,-3.96,4
3594.8990000000003,2026.0,2785.7,0.436,166.22400000000002,5.3020000000000005,0.225,0.12300000000000001,0.652,0.29,195.76,74.86,98.86,47.95,-12.11,-2.58,1.45,1.2570000000000001,1.4969999999999999,0.38799999999999996,0.483,0.523,0.509,16.696289,14,6000000208,6000000208,2017-08-28 14:21:00,20.64,310.18,-9.769999,0.71,1641.0,16.18,46.799999,0.375,0.516,26,47.94646272,-12.98,4
3007.215,1935.0,2379.0,0.35600000000000004,154.83,7.81,0.209,0.09,0.701,0.264,199.27,84.75,109.22,51.5,-11.01,-4.32,1.71,1.3119999999999998,1.557,0.355,0.42100000000000004,0.48200000000000004,0.465,19.240234,14,6000000208,6000000208,2017-08-28 14:22:00,16.93,314.51,-5.39,0.14,1647.0,16.26,46.75,0.47700000000000004,0.586,26,51.49904398,4.78,4
6634.255,2612.0,4784.5,0.606,144.291,2.17,0.27899999999999997,0.228,0.494,0.387,199.13,87.93,119.43,57.72,-6.32,-3.33,1.78,1.3840000000000001,1.699,0.442,0.47100000000000003,0.523,0.505,24.331055,15,6000000851,6000000851,2017-08-28 14:25:00,43.24,311.72,-8.029997999999999,0.46,1150.0,18.22,46.599998,0.251,0.46,26,57.7208413,-39.93,4
3536.4840000000004,2197.0,2705.2,0.379,158.457,7.002999999999999,0.235,0.096,0.669,0.307,164.39,66.83,89.98,43.76,-11.91,-3.91,2.23,1.12,1.351,0.332,0.41200000000000003,0.474,0.451,23.19043,15,6000000851,6000000851,2017-08-28 14:26:00,38.34,314.12,-5.5599989999999995,0.14,1498.0,6.68,46.529999,0.504,0.621,26,43.75525813,-37.84,4
1450.751,1314.0,1350.7,0.094,39.177,46.048,0.069,0.02,0.9109999999999999,0.07400000000000001,131.03,56.06,71.44,33.54,-14.98,-3.83,2.1,1.028,1.182,0.318,0.429,0.489,0.46799999999999997,19.760742,3,6000000964,6000000964,2017-08-28 14:33:00,13.03,321.52,1.69,0.14,1263.0,10.48,46.68,0.7140000000000001,0.7340000000000001,45,33.54493308,-7.78,4
1601.4920000000002,1504.0,1494.5,0.061,37.519,74.531,0.067,0.012,0.9209999999999999,0.07200000000000001,137.36,60.01,76.04,35.51,-13.63,-3.48,2.51,1.0759999999999998,1.236,0.33899999999999997,0.441,0.501,0.47600000000000003,19.166992,3,6000000964,6000000964,2017-08-28 14:34:00,8.67,321.78,1.11,0.12,1248.0,3.77,47.52,1.1079999999999999,1.101,45,35.50669216,-7.81,4
2573.0370000000003,2008.0,2080.7,0.22,114.27,16.332,0.191,0.047,0.762,0.237,134.45,58.75,79.56,36.62,-13.99,-3.74,2.27,1.08,1.288,0.35200000000000004,0.455,0.515,0.49200000000000005,19.066406,2,6000000964,6000000964,2017-08-28 14:41:00,16.1,318.5,-2.83,0.13,1327.0,13.15,48.18,0.84,0.871,21,36.61567878,-9.37,4
2301.388,1816.0,1872.9,0.21100000000000002,112.096,17.277,0.18600000000000003,0.045,0.769,0.22899999999999998,135.48,59.66,79.91,35.56,-13.66,-3.93,2.34,1.08,1.2830000000000001,0.34700000000000003,0.445,0.507,0.484,20.797852,2,6000000964,6000000964,2017-08-28 14:45:00,20.49,317.14,-4.870001,0.14,1338.0,17.99,48.860001000000004,0.857,0.883,21,35.56022945,-9.97,4
2015.7579999999998,1791.0,1924.0,0.11199999999999999,35.033,37.83,0.045,0.025,0.93,0.048,128.39,46.34,54.1,28.86,-14.63,-3.88,0.36,0.9079999999999999,0.986,0.299,0.406,0.449,0.445,31.141602000000002,3,6000000964,6000000964,2017-08-30 10:23:00,17.0,316.08,5.990001,0.13,1711.0,4.41,36.939999,0.379,0.408,45,28.85659656,-16.44,4
2485.62,2028.0,2142.0,0.184,71.11,20.648000000000003,0.138,0.04,0.8220000000000001,0.16,138.81,54.68,67.1,33.38,-13.33,-3.7,-0.36,1.03,1.1540000000000001,0.35,0.446,0.48,0.483,31.918945,3,6000000964,6000000964,2017-08-30 10:26:00,18.55,314.82,1.839998,0.54,1143.0,17.99,39.830002,0.7120000000000001,0.752,45,33.38049713,4.59,4
3453.741,2824.0,2900.2,0.182,97.145,20.891,0.16,0.038,0.8009999999999999,0.191,163.76,72.5,93.72,45.94,-9.19,-3.94,1.07,1.187,1.4,0.371,0.423,0.473,0.462,30.083984,4,6000000962,6000000962,2017-08-30 10:32:00,57.82,314.81,0.560002,0.22,1347.0,53.27,41.099998,0.856,0.879,45,45.93881453,27.05,4
3719.288,2490.0,2835.1,0.331,155.328,8.884,0.23800000000000002,0.077,0.685,0.312,150.58,66.05,84.07,41.14,-9.7,-2.7,0.88,1.182,1.3619999999999999,0.424,0.494,0.53,0.521,30.748046999999996,4,6000000962,6000000962,2017-08-30 10:33:00,28.13,311.72,-2.720001,1.39,1452.0,9.69,41.290001000000004,0.632,0.7190000000000001,45,41.13957935,-26.54,4
2451.88,2437.0,2264.5,0.006,51.577,798.181,0.076,0.001,0.922,0.083,142.08,56.16,72.18,36.97,-12.31,-3.89,1.49,0.998,1.158,0.314,0.39799999999999996,0.452,0.43700000000000006,23.196289,2,6000000964,6000000964,2017-08-30 10:38:00,11.76,317.82,2.910002,0.09,1500.0,-9.3,41.759997999999996,13.549000000000001,12.59,21,36.96749522,-7.24,4
2655.816,2099.0,2113.8,0.21,124.069,17.397000000000002,0.204,0.043,0.753,0.256,155.23,61.35,78.88,39.63,-12.51,-3.56,1.71,1.0859999999999999,1.261,0.34700000000000003,0.43700000000000006,0.489,0.47200000000000003,26.53125,2,6000000964,6000000964,2017-08-30 10:40:00,6.0,313.72,-2.11,0.89,1351.0,5.83,42.68,0.9670000000000001,0.973,21,39.629063099999996,1.39,4
2505.13,2324.0,2198.1,0.07200000000000001,70.156,61.597,0.12300000000000001,0.013999999999999999,0.863,0.14,151.43,61.23,77.95,38.99,-12.88,-3.87,1.3,1.074,1.2409999999999999,0.33299999999999996,0.423,0.475,0.462,27.236328000000004,2,6000000964,6000000964,2017-08-30 10:41:00,23.57,315.26,-0.64,0.11,1272.0,12.16,42.75,1.7919999999999998,1.695,21,38.98661568,20.35,4
5771.861,2791.0,4371.7,0.516,149.88,3.569,0.243,0.166,0.5920000000000001,0.32,180.39,78.41,104.48,52.09,-6.89,-4.0,1.48,1.246,1.507,0.39299999999999996,0.42200000000000004,0.47700000000000004,0.462,25.277344,14,6000000962,6000000962,2017-08-30 10:48:00,10.67,306.3,-9.309999000000001,0.18,1373.0,9.13,42.459998999999996,0.3,0.47,16,52.0917782,-5.54,4
