canopy_height,column,cultivar,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season,day_offset
27.0,6,6000000821,2017-05-18 12:00:00,5.0793905213,2.694453485,2.0470058573900003,0.36339869281,19,4,17
20.0,2,6000000788,2017-05-18 12:00:00,3.79316325477,2.31470999673,1.91247234132,0.398654066438,22,4,17
25.0,6,6000000750,2017-05-18 12:00:00,3.6075542940400003,2.11367134815,1.9707905946000002,0.39086659475,23,4,17
21.0,11,6000000748,2017-05-18 12:00:00,3.93410629941,2.64833492693,1.7911854043000002,0.41492374727700004,23,4,17
21.0,2,6000000995,2017-05-18 12:00:00,3.4603603538699996,2.1980897998900004,1.8474116061,0.423056994819,24,4,17
21.0,2,6000000878,2017-05-18 12:00:00,3.09646702423,1.94318103697,1.9025568928999999,0.41743180306100003,25,4,17
21.0,5,6000000724,2017-05-18 12:00:00,4.03220402931,2.2666747191,2.03358205731,0.368272491522,27,4,17
28.0,12,6000000567,2017-05-18 12:00:00,4.849096078500001,2.8092141055,1.94563554822,0.38172530528399995,20,4,17
27.0,14,6000000703,2017-05-18 12:00:00,3.3448135645,2.1987929668,1.84297532917,0.417371729528,20,4,17
23.0,13,6000000810,2017-05-19 12:00:00,3.3745353366,2.1608478545,1.87131327063,0.411493938565,41,4,18
14.0,5,6000000918,2017-05-19 12:00:00,4.15600080806,2.5250061602700002,1.9027847029299998,0.396738641475,35,4,18
33.0,9,6000000877,2017-05-19 12:00:00,3.65615578851,2.26697809091,1.90241314806,0.402767080302,39,4,18
27.0,7,6000000796,2017-05-19 12:00:00,4.02377426793,2.3224173006799997,1.98692650725,0.38050468050499997,41,4,18
28.0,15,6000000935,2017-05-19 12:00:00,3.7656122234199993,2.20961912952,1.9807382590400002,0.384735911044,40,4,18
25.0,6,6000000931,2017-05-19 12:00:00,3.1770667489399997,2.09447585963,1.8159621638799999,0.429741969458,37,4,18
27.0,3,6000000968,2017-05-19 12:00:00,2.79114442949,1.96107247072,1.78450604354,0.438108070757,37,4,18
31.0,13,6000000756,2017-05-19 12:00:00,2.92320342863,1.8854312976199998,1.88088999533,0.424580931558,9,4,18
26.0,2,6000000993,2017-05-19 12:00:00,3.1872945485799997,2.2276367174500002,1.7440033801599997,0.44437804338200004,27,4,18
