column,cultivar,cultivar_id,date,panicle_count,panicle_surface_area,panicle_volume,range,season
3,6000000725,6000000725,2017-08-24 12:00:00,78.0,11653.141521,53536.733829000004,10,4
4,6000000550,6000000550,2017-08-24 12:00:00,54.0,13193.264199500001,73249.88595499999,10,4
7,6000000749,6000000749,2017-08-24 12:00:00,22.0,13031.233056000001,77574.010288,10,4
11,6000000731,6000000731,2017-08-24 12:00:00,64.0,14593.536418000002,84877.4903485,10,4
13,6000001004,6000001004,2017-08-24 12:00:00,38.0,9440.1238705,44959.986618,10,4
7,6000001025,6000001025,2017-08-24 12:00:00,38.0,13377.89656,92926.99537799999,11,4
12,6000001028,6000001028,2017-08-24 12:00:00,51.0,15880.165283000002,102990.90017899999,11,4
13,6000000868,6000000868,2017-08-24 12:00:00,21.0,11620.348129,72867.38201799999,11,4
8,6000001002,6000001002,2017-08-24 12:00:00,61.0,26219.64327,224095.83107800002,12,4
11,6000000927,6000000927,2017-08-24 12:00:00,4.0,22301.6510265,189397.017897,12,4
7,6000000811,6000000811,2017-08-24 12:00:00,5.0,28130.857550999997,276822.12797800003,13,4
9,6000000746,6000000746,2017-08-24 12:00:00,26.0,23965.698039,172441.72086300002,14,4
10,6000000940,6000000940,2017-08-24 12:00:00,20.0,10326.924152,50959.0662625,16,4
13,6000000465,6000000465,2017-08-24 12:00:00,58.0,10037.6700665,44790.778783,16,4
13,6000000986,6000000986,2017-08-24 12:00:00,33.0,13742.027739,87924.02315499999,17,4
3,6000000735,6000000735,2017-08-24 12:00:00,117.0,19367.223452000002,136804.15826300002,18,4
12,6000000723,6000000723,2017-08-24 12:00:00,8.0,14246.551555000002,121227.01070099999,19,4
8,6000001021,6000001021,2017-08-24 12:00:00,83.0,13620.27336,71572.75821900001,20,4
10,6000000873,6000000873,2017-08-24 12:00:00,13.0,11702.063832,65332.633415,20,4
6,6000000706,6000000706,2017-08-24 12:00:00,4.0,46776.773222,654160.197917,21,4
5,6000000210,6000000210,2017-08-25 12:00:00,26.0,10198.3713915,49490.4532665,49,4
14,6000000869,6000000869,2017-08-25 12:00:00,15.0,10547.304709999999,57372.247738,11,4
3,6000000235,6000000235,2017-08-25 12:00:00,13.0,19447.593993000002,179213.287962,38,4
4,6000000999,6000000999,2017-08-25 12:00:00,49.0,19343.028248,136422.037171,29,4
8,6000000214,6000000214,2017-08-25 12:00:00,13.0,10312.725756,63408.445534000006,36,4
6,6000001061,6000001061,2017-08-25 12:00:00,46.0,12309.135593,69255.160691,46,4
14,6000000208,6000000208,2017-08-25 12:00:00,9.0,11982.697204,90191.265242,26,4
6,6000000978,6000000978,2017-08-25 12:00:00,8.0,11001.645233,61903.742954999994,28,4
8,6000000960,6000000960,2017-08-25 12:00:00,16.0,13727.095529499999,82933.9216235,30,4
13,6000000851,6000000851,2017-08-25 12:00:00,12.0,14061.058438499998,90325.09248250001,30,4
7,6000000576,6000000576,2017-08-25 12:00:00,23.0,10697.817226000001,63803.04079299999,31,4
14,6000000727,6000000727,2017-08-25 12:00:00,69.0,8980.308167000001,44199.199222,31,4
11,6000000694,6000000694,2017-08-25 12:00:00,11.0,25393.520913999997,272351.507308,45,4
4,6000000971,6000000971,2017-08-25 12:00:00,9.0,12978.625697,98619.649208,46,4
10,6000001026,6000001026,2017-08-25 12:00:00,7.0,8192.76108,53531.853154000004,50,4
3,6000000886,6000000886,2017-08-25 12:00:00,5.0,14472.790665,95481.65868,52,4
14,6000000801,6000000801,2017-08-25 12:00:00,21.0,18307.463246,147197.17405499998,52,4
12,6000000736,6000000736,2017-08-26 12:00:00,46.0,22199.175826,194002.01296700002,24,4
4,6000000999,6000000999,2017-08-26 12:00:00,56.0,21386.814077000003,169090.836523,29,4
7,6000000576,6000000576,2017-08-26 12:00:00,21.0,9168.828394,51263.887297,31,4
5,6000000697,6000000697,2017-08-26 12:00:00,4.0,18648.556143,141083.163563,34,4
5,6000000926,6000000926,2017-08-26 12:00:00,13.0,14696.176651,105340.150453,37,4
10,6000000213,6000000213,2017-08-26 12:00:00,29.0,15130.540722999998,90363.43840700001,38,4
11,6000000694,6000000694,2017-08-26 12:00:00,7.0,26485.546881000002,267966.64238000003,45,4
12,6000000223,6000000223,2017-08-26 12:00:00,15.0,19417.997211,144933.577194,45,4
5,6000000210,6000000210,2017-08-26 12:00:00,23.0,9828.196684,47265.670143,49,4
4,6000000869,6000000869,2017-08-26 12:00:00,32.0,12671.97148,89680.9277655,50,4
5,6000000862,6000000862,2017-08-26 12:00:00,18.0,8382.9503395,43094.379052,50,4
8,6000000987,6000000987,2017-08-26 12:00:00,22.0,13837.768801499999,82344.098976,50,4
10,6000001026,6000001026,2017-08-26 12:00:00,7.0,14497.901417,82473.385599,50,4
3,6000000886,6000000886,2017-08-26 12:00:00,6.0,15801.341257499998,99294.595871,52,4
14,6000000801,6000000801,2017-08-26 12:00:00,25.0,14172.127069999999,105596.498299,52,4
7,6000000710,6000000710,2017-08-28 12:00:00,12.0,11170.0993765,50099.476420499996,4,4
13,6000001009,6000001009,2017-08-28 12:00:00,6.0,22277.638893,212390.34218900002,6,4
8,6000000961,6000000961,2017-08-28 12:00:00,12.0,12876.8490235,61369.329301,8,4
5,6000000997,6000000997,2017-08-28 12:00:00,57.0,14112.223812999999,83293.751459,10,4
11,6000000863,6000000863,2017-08-28 12:00:00,20.0,22240.2829975,207074.196427,11,4
14,6000000869,6000000869,2017-08-28 12:00:00,18.0,13583.358056000001,81916.613915,11,4
7,6000000738,6000000738,2017-08-28 12:00:00,22.0,21557.6671245,201163.774574,12,4
9,6000000235,6000000235,2017-08-28 12:00:00,32.0,14411.779243,94323.29592799999,12,4
12,6000000999,6000000999,2017-08-28 12:00:00,85.0,23031.857228,201213.273522,12,4
14,6000000958,6000000958,2017-08-28 12:00:00,33.0,9797.060468000001,53722.984048,12,4
9,6000000797,6000000797,2017-08-28 12:00:00,23.0,9617.180284,50979.548378,13,4
13,6000000896,6000000896,2017-08-28 12:00:00,61.0,14841.253922,120529.975919,13,4
4,6000000884,6000000884,2017-08-28 12:00:00,3.0,10502.711375,62513.999028,14,4
11,6000000966,6000000966,2017-08-28 12:00:00,16.0,9963.131845,56010.612175,14,4
12,6000001059,6000001059,2017-08-28 12:00:00,8.0,11933.2704975,71121.6082785,14,4
4,6000000718,6000000718,2017-08-28 12:00:00,10.0,10390.183547,59689.890391999994,15,4
5,6000001027,6000001027,2017-08-28 12:00:00,13.0,6097.808964,26549.968405,18,4
7,6000000945,6000000945,2017-08-28 12:00:00,13.0,14076.10635,98677.802423,18,4
8,6000000791,6000000791,2017-08-28 12:00:00,4.0,17952.4305585,105818.99592,19,4
