canopy_height,column,cultivar,cultivar_id,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season
370.0,8,6000000961,6000000961,2017-08-22 12:00:00,1.1568869954,1.26472416714,1.4954845467299998,0.5133639410890001,8,4
362.0,10,6000000919,6000000919,2017-08-22 12:00:00,1.6865973113600001,1.40075781507,1.73445938539,0.462756934528,17,4
366.0,7,6000000956,6000000956,2017-08-22 12:00:00,1.17792052201,1.29979448701,1.48747879769,0.517019847984,21,4
354.0,8,6000000221,6000000221,2017-08-22 12:00:00,2.47729697531,1.60550370685,1.9398056476700003,0.42972847506399997,43,4
372.0,5,6000000229,6000000229,2017-08-22 12:00:00,2.8454854615099996,1.8171146122599997,1.9260621892299998,0.409392165063,16,4
321.0,5,6000000917,6000000917,2017-08-22 12:00:00,2.14645827507,1.4816888434399997,1.93504328573,0.42172696929700004,15,4
334.0,6,6000000553,6000000553,2017-08-22 12:00:00,1.43322295299,1.27159889878,1.7190220518900001,0.46982350747,44,4
354.0,5,6000000888,6000000888,2017-08-22 12:00:00,1.4100212976800002,1.3454447022100002,1.61334318057,0.487531068997,14,4
327.0,13,6000000894,6000000894,2017-08-22 12:00:00,1.48286713213,1.32802650044,1.68821998299,0.47323812368199997,5,4
333.0,7,6000001062,6000001062,2017-08-22 12:00:00,1.8243057169299999,1.4244042675,1.81482067569,0.449680400586,46,4
342.0,8,6000000970,6000000970,2017-08-22 12:00:00,2.20383986478,1.51017563693,1.92008303753,0.42624930755999996,46,4
362.0,9,6000000728,6000000728,2017-08-22 12:00:00,1.73984736373,1.50662556814,1.6712973437799998,0.472827989123,46,4
295.0,6,6000000231,6000000231,2017-08-22 12:00:00,1.55881929259,1.43787541759,1.62147095042,0.48421544688600004,11,4
345.0,5,6000000889,6000000889,2017-08-22 12:00:00,1.89930405833,1.63612806593,1.63505753272,0.4737680295100001,22,4
347.0,7,6000000982,6000000982,2017-08-22 12:00:00,2.0014943825,1.57158275139,1.7436570958900002,0.45405153037100004,9,4
377.0,4,6000000817,6000000817,2017-08-22 12:00:00,2.7333939034900006,1.80383101682,1.88291797373,0.421507468666,4,4
374.0,10,6000000990,6000000990,2017-08-22 12:00:00,2.0518857853599997,1.46750303768,1.8752115319099998,0.43444012364100004,4,4
399.0,9,6000001003,6000001003,2017-08-22 12:00:00,0.962599518145,1.13996890819,1.49950851838,0.523031252039,48,4
381.0,10,6000000892,6000000892,2017-08-22 12:00:00,1.28283588513,1.31173328954,1.56014393523,0.500977427654,6,4
357.0,11,6000000904,6000000904,2017-08-22 12:00:00,1.59172379933,1.31508433597,1.81209611306,0.457586597972,4,4
355.0,6,6000000943,6000000943,2017-08-22 12:00:00,1.26209164579,1.19967214569,1.71956530037,0.478783507917,49,4
336.0,2,6000000730,6000000730,2017-08-22 12:00:00,2.3351596038099998,1.5612399861000001,1.9315380713900003,0.42368378356499997,50,4
356.0,13,6000000860,6000000860,2017-08-22 12:00:00,1.6606728683899998,1.4408205973800001,1.6821961030099999,0.473016050765,50,4
298.0,10,6000001027,6000001027,2017-08-22 12:00:00,1.57381725599,1.4234141881400002,1.6330137231200001,0.478021816193,51,4
331.0,14,6000000703,6000000703,2017-08-22 12:00:00,2.1976955513900003,1.6512681075100002,1.7551886008099997,0.45186103982500003,20,4
293.0,4,6000000891,6000000891,2017-08-22 12:00:00,2.52056068655,1.8062721752500002,1.8024565682299998,0.437202620292,22,4
317.0,14,6000000910,6000000910,2017-08-22 12:00:00,1.98936120757,1.53989974323,1.7566102418599998,0.453082076659,7,4
362.0,13,6000001020,6000001020,2017-08-25 12:00:00,1.97028625276,1.5475551633000002,1.75824827735,0.45439064724100003,39,4
277.0,3,6000001009,6000001009,2017-08-25 12:00:00,1.7798834524400002,1.39931928564,1.8106003086200002,0.447621664194,41,4
